"rate","season","week","medium","rate_medium","high","rate_high","very_high","rate_very_high"
0.04,2015,48,0,1.03,0,1.35,0,1.88
2.1,2015,9,1,1.03,1,1.35,0,1.88
0.07,2015,17,0,1.03,0,1.35,0,1.88
0.13,2015,46,0,1.03,0,1.35,0,1.88
1.37,2015,3,1,1.03,1,1.35,0,1.88
1.46,2015,52,1,1.03,1,1.35,0,1.88
0,2015,26,0,1.03,0,1.35,0,1.88
0,2015,22,0,1.03,0,1.35,0,1.88
0.95,2015,13,0,1.03,0,1.35,0,1.88
0.11,2015,44,0,1.03,0,1.35,0,1.88
0.05,2015,45,0,1.03,0,1.35,0,1.88
1.72,2015,7,1,1.03,1,1.35,0,1.88
0,2015,20,0,1.03,0,1.35,0,1.88
0,2015,28,0,1.03,0,1.35,0,1.88
0,2015,29,0,1.03,0,1.35,0,1.88
1.48,2015,10,1,1.03,1,1.35,0,1.88
0,2015,25,0,1.03,0,1.35,0,1.88
0,2015,19,0,1.03,0,1.35,0,1.88
0.07,2015,16,0,1.03,0,1.35,0,1.88
0.02,2015,41,0,1.03,0,1.35,0,1.88
0.73,2015,14,0,1.03,0,1.35,0,1.88
0.2,2015,18,0,1.03,0,1.35,0,1.88
0.09,2015,42,0,1.03,0,1.35,0,1.88
0.04,2015,47,0,1.03,0,1.35,0,1.88
2.26,2015,8,1,1.03,1,1.35,0,1.88
0.57,2015,15,0,1.03,0,1.35,0,1.88
0.97,2015,11,0,1.03,0,1.35,0,1.88
0.93,2015,12,0,1.03,0,1.35,0,1.88
0.05,2015,40,0,1.03,0,1.35,0,1.88
2.23,2015,53,1,1.03,1,1.35,0,1.88
0.27,2015,49,0,1.03,0,1.35,0,1.88
1.37,2015,4,1,1.03,1,1.35,0,1.88
0.8,2015,2,0,1.03,0,1.35,0,1.88
0.09,2016,36,0,1.7,0,2.32,0,3.42
0,2016,35,0,1.7,0,2.32,0,3.42
0.13,2016,33,0,1.7,0,2.32,0,3.42
0,2016,28,0,1.7,0,2.32,0,3.42
0.18,2016,38,0,1.7,0,2.32,0,3.42
0.18,2016,37,0,1.7,0,2.32,0,3.42
0,2016,27,0,1.7,0,2.32,0,3.42
0,2016,29,0,1.7,0,2.32,0,3.42
0.11,2016,39,0,1.7,0,2.32,0,3.42
4.02,2016,11,1,1.7,1,2.32,0,3.42
2.98,2016,12,1,1.7,1,2.32,0,3.42
0.45,2016,44,0,1.7,0,2.32,0,3.42
8.26,2016,50,1,1.7,1,2.32,0,3.42
18.65,2016,5,1,1.7,1,2.32,0,3.42
4.26,2016,49,1,1.7,1,2.32,0,3.42
17.92,2016,52,1,1.7,1,2.32,0,3.42
0.04,2016,32,0,1.7,0,2.32,0,3.42
0.09,2016,31,0,1.7,0,2.32,0,3.42
0.75,2016,45,0,1.7,0,2.32,0,3.42
0.05,2016,23,0,1.7,0,2.32,0,3.42
18,2016,4,1,1.7,1,2.32,0,3.42
2.22,2016,47,1,1.7,0,2.32,0,3.42
4.68,2016,10,1,1.7,1,2.32,0,3.42
6.26,2016,2,1,1.7,1,2.32,0,3.42
0.27,2016,43,0,1.7,0,2.32,0,3.42
0,2016,30,0,1.7,0,2.32,0,3.42
0.02,2016,42,0,1.7,0,2.32,0,3.42
3.06,2016,13,1,1.7,1,2.32,0,3.42
18.8,2016,8,1,1.7,1,2.32,0,3.42
2.71,2016,48,1,1.7,1,2.32,0,3.42
3.46,2016,14,1,1.7,1,2.32,0,3.42
0.2,2016,25,0,1.7,0,2.32,0,3.42
0.18,2016,21,0,1.7,0,2.32,0,3.42
18.8,2016,7,1,1.7,1,2.32,0,3.42
0.87,2016,46,0,1.7,0,2.32,0,3.42
0.2,2016,41,0,1.7,0,2.32,0,3.42
3.6,2016,1,1,1.7,1,2.32,0,3.42
9.57,2016,3,1,1.7,1,2.32,0,3.42
6.37,2016,9,1,1.7,1,2.32,0,3.42
0,2016,22,0,1.7,0,2.32,0,3.42
0.09,2016,34,0,1.7,0,2.32,0,3.42
17.05,2016,51,1,1.7,1,2.32,0,3.42
18.8,2016,6,1,1.7,1,2.32,0,3.42
0.09,2016,24,0,1.7,0,2.32,0,3.42
0.16,2016,40,0,1.7,0,2.32,0,3.42
0.04,2016,26,0,1.7,0,2.32,0,3.42
1,2017,14,0,1.19,0,3.56,0,11.03
0.82,2017,13,0,1.19,0,3.56,0,11.03
0.04,2017,27,0,1.19,0,3.56,0,11.03
0.76,2017,11,0,1.19,0,3.56,0,11.03
0.24,2017,23,0,1.19,0,3.56,0,11.03
0.22,2017,28,0,1.19,0,3.56,0,11.03
1.38,2017,9,1,1.19,0,3.56,0,11.03
0.07,2017,34,0,1.19,0,3.56,0,11.03
0.11,2017,35,0,1.19,0,3.56,0,11.03
2.52,2017,51,1,1.19,0,3.56,0,11.03
0.93,2017,12,0,1.19,0,3.56,0,11.03
1.23,2017,10,1,1.19,0,3.56,0,11.03
0.69,2017,46,0,1.19,0,3.56,0,11.03
2.6,2017,7,1,1.19,0,3.56,0,11.03
1.27,2017,50,1,1.19,0,3.56,0,11.03
0.16,2017,36,0,1.19,0,3.56,0,11.03
0.05,2017,26,0,1.19,0,3.56,0,11.03
9.95,2017,2,1,1.19,1,3.56,0,11.03
2.98,2017,6,1,1.19,0,3.56,0,11.03
1.33,2017,49,1,1.19,0,3.56,0,11.03
0.09,2017,38,0,1.19,0,3.56,0,11.03
0.13,2017,29,0,1.19,0,3.56,0,11.03
0.47,2017,43,0,1.19,0,3.56,0,11.03
8.15,2017,3,1,1.19,1,3.56,0,11.03
0.96,2017,48,0,1.19,0,3.56,0,11.03
3.98,2017,52,1,1.19,1,3.56,0,11.03
0.09,2017,39,0,1.19,0,3.56,0,11.03
13.92,2017,1,1,1.19,1,3.56,0,11.03
0.04,2017,25,0,1.19,0,3.56,0,11.03
0.47,2017,45,0,1.19,0,3.56,0,11.03
2.51,2017,8,1,1.19,0,3.56,0,11.03
0.09,2017,37,0,1.19,0,3.56,0,11.03
0.02,2017,32,0,1.19,0,3.56,0,11.03
0.69,2017,47,0,1.19,0,3.56,0,11.03
0.36,2017,44,0,1.19,0,3.56,0,11.03
0.02,2017,31,0,1.19,0,3.56,0,11.03
0.22,2017,42,0,1.19,0,3.56,0,11.03
0.04,2017,24,0,1.19,0,3.56,0,11.03
0.05,2017,33,0,1.19,0,3.56,0,11.03
4.36,2017,5,1,1.19,1,3.56,0,11.03
9.49,2017,4,1,1.19,1,3.56,0,11.03
0.13,2017,30,0,1.19,0,3.56,0,11.03
0.11,2017,21,0,1.19,0,3.56,0,11.03
0.25,2017,41,0,1.19,0,3.56,0,11.03
0.05,2017,22,0,1.19,0,3.56,0,11.03
0.24,2017,40,0,1.19,0,3.56,0,11.03
0.56,2018,49,0,8.23,0,16.22,0,18.11
0.51,2018,46,0,8.23,0,16.22,0,18.11
0.63,2018,47,0,8.23,0,16.22,0,18.11
0.07,2018,37,0,8.23,0,16.22,0,18.11
0.83,2018,50,0,8.23,0,16.22,0,18.11
0.15,2018,38,0,8.23,0,16.22,0,18.11
5.67,2018,1,0,8.23,0,16.22,0,18.11
21.7,2018,8,1,8.23,1,16.22,0,18.11
0.62,2018,48,0,8.23,0,16.22,0,18.11
6.4,2018,2,0,8.23,0,16.22,0,18.11
0.02,2018,33,0,8.23,0,16.22,0,18.11
0.15,2018,43,0,8.23,0,16.22,0,18.11
0.09,2018,36,0,8.23,0,16.22,0,18.11
0.36,2018,44,0,8.23,0,16.22,0,18.11
0.09,2018,52,0,8.23,0,16.22,0,18.11
18.82,2018,6,1,8.23,1,16.22,0,18.11
0.04,2018,25,0,8.23,0,16.22,0,18.11
0.07,2018,35,0,8.23,0,16.22,0,18.11
20.58,2018,9,1,8.23,1,16.22,0,18.11
11.57,2018,7,1,8.23,0,16.22,0,18.11
0.11,2018,31,0,8.23,0,16.22,0,18.11
0.04,2018,26,0,8.23,0,16.22,0,18.11
0.07,2018,24,0,8.23,0,16.22,0,18.11
0.2,2018,22,0,8.23,0,16.22,0,18.11
7.43,2018,14,0,8.23,0,16.22,0,18.11
0.11,2018,39,0,8.23,0,16.22,0,18.11
0.05,2018,32,0,8.23,0,16.22,0,18.11
10.61,2018,13,1,8.23,0,16.22,0,18.11
0.44,2018,45,0,8.23,0,16.22,0,18.11
1.52,2018,51,0,8.23,0,16.22,0,18.11
11.11,2018,12,1,8.23,0,16.22,0,18.11
12.02,2018,5,1,8.23,0,16.22,0,18.11
20.14,2018,10,1,8.23,1,16.22,0,18.11
0,2018,30,0,8.23,0,16.22,0,18.11
0.05,2018,34,0,8.23,0,16.22,0,18.11
18.26,2018,11,1,8.23,1,16.22,0,18.11
0.15,2018,42,0,8.23,0,16.22,0,18.11
0.27,2018,41,0,8.23,0,16.22,0,18.11
0.07,2018,27,0,8.23,0,16.22,0,18.11
9.48,2018,4,1,8.23,0,16.22,0,18.11
9.48,2018,3,1,8.23,0,16.22,0,18.11
0,2018,21,0,8.23,0,16.22,0,18.11
0.02,2018,29,0,8.23,0,16.22,0,18.11
0.09,2018,23,0,8.23,0,16.22,0,18.11
0.18,2018,40,0,8.23,0,16.22,0,18.11
0.11,2018,28,0,8.23,0,16.22,0,18.11
0.04,2019,26,0,1.22,0,9.97,0,11.17
1.25,2019,49,1,1.22,0,9.97,0,11.17
0.11,2019,28,0,1.22,0,9.97,0,11.17
0.07,2019,25,0,1.22,0,9.97,0,11.17
6.95,2019,5,1,1.22,0,9.97,0,11.17
0.14,2019,24,0,1.22,0,9.97,0,11.17
0,2019,40,0,1.22,0,9.97,0,11.17
0.02,2019,35,0,1.22,0,9.97,0,11.17
3.73,2019,3,1,1.22,0,9.97,0,11.17
0.14,2019,38,0,1.22,0,9.97,0,11.17
0.07,2019,29,0,1.22,0,9.97,0,11.17
0.05,2019,30,0,1.22,0,9.97,0,11.17
10.27,2019,6,1,1.22,1,9.97,0,11.17
0.4,2019,21,0,1.22,0,9.97,0,11.17
3.75,2019,14,1,1.22,0,9.97,0,11.17
1.18,2019,48,0,1.22,0,9.97,0,11.17
4.71,2019,13,1,1.22,0,9.97,0,11.17
0.13,2019,42,0,1.22,0,9.97,0,11.17
0.18,2019,37,0,1.22,0,9.97,0,11.17
2.28,2019,50,1,1.22,0,9.97,0,11.17
0.05,2019,34,0,1.22,0,9.97,0,11.17
4.62,2019,8,1,1.22,0,9.97,0,11.17
11.9,2019,9,1,1.22,1,9.97,0,11.17
0.43,2019,45,0,1.22,0,9.97,0,11.17
10.85,2019,7,1,1.22,1,9.97,0,11.17
0.25,2019,23,0,1.22,0,9.97,0,11.17
0.11,2019,41,0,1.22,0,9.97,0,11.17
2.23,2019,52,1,1.22,0,9.97,0,11.17
0.02,2019,36,0,1.22,0,9.97,0,11.17
0.09,2019,27,0,1.22,0,9.97,0,11.17
2.77,2019,51,1,1.22,0,9.97,0,11.17
0.05,2019,39,0,1.22,0,9.97,0,11.17
0.02,2019,31,0,1.22,0,9.97,0,11.17
0.07,2019,32,0,1.22,0,9.97,0,11.17
0.29,2019,22,0,1.22,0,9.97,0,11.17
5.94,2019,12,1,1.22,0,9.97,0,11.17
7.62,2019,11,1,1.22,0,9.97,0,11.17
9.62,2019,10,1,1.22,0,9.97,0,11.17
0.85,2019,47,0,1.22,0,9.97,0,11.17
0.47,2019,46,0,1.22,0,9.97,0,11.17
0.16,2019,44,0,1.22,0,9.97,0,11.17
2.95,2019,1,1,1.22,0,9.97,0,11.17
0.07,2019,33,0,1.22,0,9.97,0,11.17
0.11,2019,43,0,1.22,0,9.97,0,11.17
2.72,2019,2,1,1.22,0,9.97,0,11.17
6.02,2020,6,0,10.3,0,11.61,0,11.99
3.51,2020,5,0,10.3,0,11.61,0,11.99
4.47,2020,11,0,10.3,0,11.61,0,11.99
0.8,2020,14,0,10.3,0,11.61,0,11.99
6.24,2020,10,0,10.3,0,11.61,0,11.99
8.92,2020,9,0,10.3,0,11.61,0,11.99
3.44,2020,4,0,10.3,0,11.61,0,11.99
0.04,2020,21,0,10.3,0,11.61,0,11.99
1.19,2020,13,0,10.3,0,11.61,0,11.99
0,2020,22,0,10.3,0,11.61,0,11.99
7.92,2020,7,0,10.3,0,11.61,0,11.99
3,2020,1,0,10.3,0,11.61,0,11.99
3,2020,12,0,10.3,0,11.61,0,11.99
2.37,2020,2,0,10.3,0,11.61,0,11.99
3.44,2020,3,0,10.3,0,11.61,0,11.99
0.92,2021,50,0,6.5,0,7.67,0,8
0.27,2021,41,0,6.5,0,7.67,0,8
0.4,2021,43,0,6.5,0,7.67,0,8
0.9,2021,51,0,6.5,0,7.67,0,8
0.43,2021,45,0,6.5,0,7.67,0,8
0.36,2021,48,0,6.5,0,7.67,0,8
0.92,2021,52,0,6.5,0,7.67,0,8
0.51,2021,46,0,6.5,0,7.67,0,8
0.38,2021,44,0,6.5,0,7.67,0,8
0.34,2021,42,0,6.5,0,7.67,0,8
0.4,2021,47,0,6.5,0,7.67,0,8
0.78,2021,49,0,6.5,0,7.67,0,8
0.25,2021,40,0,6.5,0,7.67,0,8
0.4,2022,41,0,0.63,0,0.92,0,1.74
15.14,2022,19,1,0.63,1,0.92,0,1.74
0.31,2022,28,0,0.63,0,0.92,0,1.74
0.48,2022,42,0,0.63,0,0.92,0,1.74
0.22,2022,31,0,0.63,0,0.92,0,1.74
37.58,2022,52,1,0.63,1,0.92,0,1.74
0.23,2022,10,0,0.63,0,0.92,0,1.74
0.59,2022,13,0,0.63,0,0.92,0,1.74
0.36,2022,12,0,0.63,0,0.92,0,1.74
0.25,2022,30,0,0.63,0,0.92,0,1.74
0.56,2022,38,0,0.63,0,0.92,0,1.74
0.77,2022,25,1,0.63,0,0.92,0,1.74
0.34,2022,29,0,0.63,0,0.92,0,1.74
0.36,2022,8,0,0.63,0,0.92,0,1.74
0.41,2022,40,0,0.63,0,0.92,0,1.74
31.8,2022,51,1,0.63,1,0.92,0,1.74
0.22,2022,11,0,0.63,0,0.92,0,1.74
5.51,2022,22,1,0.63,1,0.92,0,1.74
17.22,2022,18,1,0.63,1,0.92,0,1.74
7.11,2022,49,1,0.63,1,0.92,0,1.74
6.72,2022,21,1,0.63,1,0.92,0,1.74
0.45,2022,9,0,0.63,0,0.92,0,1.74
0.61,2022,43,0,0.63,0,0.92,0,1.74
0.7,2022,39,1,0.63,0,0.92,0,1.74
0.41,2022,7,0,0.63,0,0.92,0,1.74
0.57,2022,44,0,0.63,0,0.92,0,1.74
7.25,2022,17,1,0.63,1,0.92,0,1.74
16.3,2022,50,1,0.63,1,0.92,0,1.74
3.56,2022,23,1,0.63,1,0.92,0,1.74
2.69,2022,16,1,0.63,1,0.92,0,1.74
1.33,2022,15,1,0.63,1,0.92,0,1.74
0.32,2022,4,0,0.63,0,0.92,0,1.74
1.31,2022,48,1,0.63,1,0.92,0,1.74
0.59,2022,26,0,0.63,0,0.92,0,1.74
0.61,2022,2,0,0.63,0,0.92,0,1.74
1.62,2022,46,1,0.63,1,0.92,0,1.74
0.31,2022,27,0,0.63,0,0.92,0,1.74
0.57,2022,1,0,0.63,0,0.92,0,1.74
0.92,2022,45,1,0.63,1,0.92,0,1.74
0.65,2022,3,1,0.63,0,0.92,0,1.74
1.62,2022,24,1,0.63,1,0.92,0,1.74
1.6,2022,47,1,0.63,1,0.92,0,1.74
0.29,2022,6,0,0.63,0,0.92,0,1.74
9.98,2022,20,1,0.63,1,0.92,0,1.74
0.95,2022,14,1,0.63,1,0.92,0,1.74
0.2,2022,5,0,0.63,0,0.92,0,1.74
23.87,2023,52,1,0.51,1,0.91,0,0.92
6.45,2023,9,1,0.51,1,0.91,0,0.92
0.45,2023,25,0,0.51,0,0.91,0,0.92
2.23,2023,18,1,0.51,1,0.91,0,0.92
3.34,2023,17,1,0.51,1,0.91,0,0.92
28.08,2023,51,1,0.51,1,0.91,0,0.92
0.73,2023,24,1,0.51,0,0.91,0,0.92
3.73,2023,16,1,0.51,1,0.91,0,0.92
1.21,2023,43,1,0.51,1,0.91,0,0.92
2.5,2023,19,1,0.51,1,0.91,0,0.92
7.82,2023,8,1,0.51,1,0.91,0,0.92
0.79,2023,23,1,0.51,0,0.91,0,0.92
0.79,2023,42,1,0.51,0,0.91,0,0.92
4.78,2023,14,1,0.51,1,0.91,0,0.92
0.34,2023,26,0,0.51,0,0.91,0,0.92
13.35,2023,4,1,0.51,1,0.91,0,0.92
1.18,2023,21,1,0.51,1,0.91,0,0.92
0.73,2023,40,1,0.51,0,0.91,0,0.92
9.21,2023,7,1,0.51,1,0.91,0,0.92
4.7,2023,48,1,0.51,1,0.91,0,0.92
31.37,2023,1,1,0.51,1,0.91,0,0.92
11.71,2023,5,1,0.51,1,0.91,0,0.92
0.75,2023,41,1,0.51,0,0.91,0,0.92
4.27,2023,15,1,0.51,1,0.91,0,0.92
6.41,2023,11,1,0.51,1,0.91,0,0.92
0.23,2023,31,0,0.51,0,0.91,0,0.92
0.3,2023,27,0,0.51,0,0.91,0,0.92
9.25,2023,6,1,0.51,1,0.91,0,0.92
15.75,2023,3,1,0.51,1,0.91,0,0.92
5.96,2023,12,1,0.51,1,0.91,0,0.92
7.86,2023,49,1,0.51,1,0.91,0,0.92
4.89,2023,13,1,0.51,1,0.91,0,0.92
18.76,2023,50,1,0.51,1,0.91,0,0.92
0.79,2023,38,1,0.51,0,0.91,0,0.92
0.27,2023,30,0,0.51,0,0.91,0,0.92
0.27,2023,28,0,0.51,0,0.91,0,0.92
0.3,2023,29,0,0.51,0,0.91,0,0.92
6.57,2023,10,1,0.51,1,0.91,0,0.92
1.48,2023,20,1,0.51,1,0.91,0,0.92
2.91,2023,47,1,0.51,1,0.91,0,0.92
23.8,2023,2,1,0.51,1,0.91,0,0.92
0.86,2023,22,1,0.51,0,0.91,0,0.92
